Index,X_pixel,Y_pixel,I,J,Albedo
729,-44.551133104672324,-72.53715329256724,4,17,160
729,-44.551133104672324,-72.1714382721842,4,18,163
729,-44.551133104672324,-71.80572325180115,4,19,181
729,-44.551133104672324,-69.61143312950291,4,25,131
729,-44.551133104672324,-69.24571810911988,4,26,36
729,-44.659550297176864,-78.3885936186959,5,1,56
729,-44.659550297176864,-78.02287859831286,5,2,159
729,-44.659550297176864,-77.65716357792982,5,3,159
729,-44.659550297176864,-77.29144855754677,5,4,144
729,-44.659550297176864,-76.92573353716374,5,5,146
729,-44.659550297176864,-76.56001851678069,5,6,142
729,-44.659550297176864,-76.19430349639765,5,7,155
729,-44.659550297176864,-75.82858847601462,5,8,174
729,-44.659550297176864,-75.46287345563157,5,9,143
729,-44.659550297176864,-75.09715843524853,5,10,151
729,-44.659550297176864,-74.7314434148655,5,11,160
729,-44.659550297176864,-74.36572839448245,5,12,186
729,-44.659550297176864,-74.00001337409941,5,13,183
729,-44.659550297176864,-73.63429835371636,5,14,166
729,-44.659550297176864,-72.90286831295029,5,16,176
729,-44.659550297176864,-72.53715329256724,5,17,147
729,-44.659550297176864,-72.1714382721842,5,18,178
729,-44.659550297176864,-71.80572325180115,5,19,189
729,-44.659550297176864,-70.342863170269,5,23,175
729,-44.659550297176864,-69.97714814988596,5,24,171
729,-44.659550297176864,-69.61143312950291,5,25,151
729,-44.659550297176864,-69.24571810911988,5,26,121
729,-44.767967489681396,-78.3885936186959,6,1,123
729,-44.767967489681396,-78.02287859831286,6,2,163
729,-44.767967489681396,-77.65716357792982,6,3,139
729,-44.767967489681396,-77.29144855754677,6,4,152
729,-44.767967489681396,-76.92573353716374,6,5,125
729,-44.767967489681396,-76.56001851678069,6,6,141
729,-44.767967489681396,-76.19430349639765,6,7,171
729,-44.767967489681396,-75.82858847601462,6,8,168
729,-44.767967489681396,-75.46287345563157,6,9,157
729,-44.767967489681396,-75.09715843524853,6,10,145
729,-44.767967489681396,-74.7314434148655,6,11,166
729,-44.767967489681396,-74.36572839448245,6,12,189
729,-44.767967489681396,-74.00001337409941,6,13,181
729,-44.767967489681396,-73.26858333333332,6,15,170
729,-44.767967489681396,-72.90286831295029,6,16,165
729,-44.767967489681396,-72.53715329256724,6,17,165
729,-44.767967489681396,-71.80572325180115,6,19,183
729,-44.767967489681396,-71.44000823141812,6,20,188
729,-44.767967489681396,-70.70857819065203,6,22,186
729,-44.767967489681396,-70.342863170269,6,23,166
729,-44.767967489681396,-69.97714814988596,6,24,140
729,-44.767967489681396,-69.61143312950291,6,25,146
729,-44.767967489681396,-69.24571810911988,6,26,155
729,-44.767967489681396,-68.88000308873683,6,27,63
729,-44.876384682185936,-78.3885936186959,7,1,156
729,-44.876384682185936,-78.02287859831286,7,2,153
729,-44.876384682185936,-77.65716357792982,7,3,123
729,-44.876384682185936,-77.29144855754677,7,4,136
729,-44.876384682185936,-76.92573353716374,7,5,127
729,-44.876384682185936,-76.56001851678069,7,6,166
729,-44.876384682185936,-76.19430349639765,7,7,187
729,-44.876384682185936,-75.82858847601462,7,8,179
729,-44.876384682185936,-75.46287345563157,7,9,168
729,-44.876384682185936,-75.09715843524853,7,10,154
729,-44.876384682185936,-74.7314434148655,7,11,182
729,-44.876384682185936,-74.36572839448245,7,12,184
729,-44.876384682185936,-74.00001337409941,7,13,165
729,-44.876384682185936,-73.26858333333332,7,15,165
729,-44.876384682185936,-72.90286831295029,7,16,177
729,-44.876384682185936,-72.53715329256724,7,17,175
729,-44.876384682185936,-71.44000823141812,7,20,172
729,-44.876384682185936,-71.07429321103508,7,21,185
729,-44.876384682185936,-70.70857819065203,7,22,180
729,-44.876384682185936,-69.97714814988596,7,24,154
729,-44.876384682185936,-69.61143312950291,7,25,131
729,-44.876384682185936,-69.24571810911988,7,26,140
729,-44.876384682185936,-68.88000308873683,7,27,79
729,-44.98480187469047,-78.75430863907894,8,0,37
729,-44.98480187469047,-78.3885936186959,8,1,154
729,-44.98480187469047,-78.02287859831286,8,2,148
729,-44.98480187469047,-77.65716357792982,8,3,129
729,-44.98480187469047,-77.29144855754677,8,4,111
729,-44.98480187469047,-76.92573353716374,8,5,120
729,-44.98480187469047,-76.56001851678069,8,6,159
729,-44.98480187469047,-76.19430349639765,8,7,175
729,-44.98480187469047,-75.82858847601462,8,8,189
729,-44.98480187469047,-75.46287345563157,8,9,157
729,-44.98480187469047,-75.09715843524853,8,10,165
729,-44.98480187469047,-74.7314434148655,8,11,159
729,-44.98480187469047,-74.36572839448245,8,12,176
729,-44.98480187469047,-74.00001337409941,8,13,176
729,-44.98480187469047,-73.63429835371636,8,14,188
729,-44.98480187469047,-73.26858333333332,8,15,186
729,-44.98480187469047,-72.90286831295029,8,16,187
729,-44.98480187469047,-72.53715329256724,8,17,174
729,-44.98480187469047,-71.07429321103508,8,21,189
729,-44.98480187469047,-70.70857819065203,8,22,166
729,-44.98480187469047,-70.342863170269,8,23,167
729,-44.98480187469047,-69.97714814988596,8,24,163
729,-44.98480187469047,-69.61143312950291,8,25,160
729,-44.98480187469047,-69.24571810911988,8,26,147
729,-44.98480187469047,-68.88000308873683,8,27,77
729,-45.09321906719501,-78.75430863907894,9,0,65
729,-45.09321906719501,-78.3885936186959,9,1,149
729,-45.09321906719501,-78.02287859831286,9,2,151
729,-45.09321906719501,-77.65716357792982,9,3,120
729,-45.09321906719501,-77.29144855754677,9,4,106
729,-45.09321906719501,-76.92573353716374,9,5,127
729,-45.09321906719501,-76.56001851678069,9,6,151
729,-45.09321906719501,-76.19430349639765,9,7,148
729,-45.09321906719501,-75.82858847601462,9,8,171
729,-45.09321906719501,-75.46287345563157,9,9,152
729,-45.09321906719501,-75.09715843524853,9,10,127
729,-45.09321906719501,-74.7314434148655,9,11,122
729,-45.09321906719501,-74.36572839448245,9,12,168
729,-45.09321906719501,-74.00001337409941,9,13,184
729,-45.09321906719501,-73.63429835371636,9,14,181
729,-45.09321906719501,-73.26858333333332,9,15,182
729,-45.09321906719501,-72.90286831295029,9,16,186
729,-45.09321906719501,-72.53715329256724,9,17,185
729,-45.09321906719501,-72.1714382721842,9,18,186
729,-45.09321906719501,-70.70857819065203,9,22,148
729,-45.09321906719501,-70.342863170269,9,23,158
729,-45.09321906719501,-69.61143312950291,9,25,184
729,-45.09321906719501,-69.24571810911988,9,26,181
729,-45.09321906719501,-68.88000308873683,9,27,115
729,-45.09321906719501,-68.51428806835379,9,28,40
729,-45.20163625969954,-78.75430863907894,10,0,76
729,-45.20163625969954,-78.3885936186959,10,1,149
729,-45.20163625969954,-78.02287859831286,10,2,136
729,-45.20163625969954,-77.65716357792982,10,3,114
729,-45.20163625969954,-77.29144855754677,10,4,114
729,-45.20163625969954,-76.92573353716374,10,5,132
729,-45.20163625969954,-76.56001851678069,10,6,127
729,-45.20163625969954,-76.19430349639765,10,7,151
729,-45.20163625969954,-75.82858847601462,10,8,146
729,-45.20163625969954,-75.46287345563157,10,9,134
729,-45.20163625969954,-75.09715843524853,10,10,116
729,-45.20163625969954,-74.7314434148655,10,11,127
729,-45.20163625969954,-74.36572839448245,10,12,161
729,-45.20163625969954,-74.00001337409941,10,13,176
729,-45.20163625969954,-73.63429835371636,10,14,177
729,-45.20163625969954,-73.26858333333332,10,15,170
729,-45.20163625969954,-72.53715329256724,10,17,189
729,-45.20163625969954,-72.1714382721842,10,18,186
729,-45.20163625969954,-70.70857819065203,10,22,152
729,-45.20163625969954,-70.342863170269,10,23,168
729,-45.20163625969954,-69.97714814988596,10,24,183
729,-45.20163625969954,-69.61143312950291,10,25,156
729,-45.20163625969954,-69.24571810911988,10,26,182
729,-45.20163625969954,-68.88000308873683,10,27,151
729,-45.20163625969954,-68.51428806835379,10,28,45
729,-45.31005345220408,-78.75430863907894,11,0,102
729,-45.31005345220408,-78.3885936186959,11,1,151
729,-45.31005345220408,-78.02287859831286,11,2,119
729,-45.31005345220408,-77.65716357792982,11,3,110
729,-45.31005345220408,-77.29144855754677,11,4,130
729,-45.31005345220408,-76.92573353716374,11,5,133
729,-45.31005345220408,-76.56001851678069,11,6,138
729,-45.31005345220408,-76.19430349639765,11,7,177
729,-45.31005345220408,-75.82858847601462,11,8,114
729,-45.31005345220408,-75.46287345563157,11,9,131
729,-45.31005345220408,-75.09715843524853,11,10,118
729,-45.31005345220408,-74.7314434148655,11,11,150
729,-45.31005345220408,-74.36572839448245,11,12,153
729,-45.31005345220408,-74.00001337409941,11,13,182
729,-45.31005345220408,-73.63429835371636,11,14,160
729,-45.31005345220408,-73.26858333333332,11,15,177
729,-45.31005345220408,-72.53715329256724,11,17,180
729,-45.31005345220408,-71.80572325180115,11,19,183
729,-45.31005345220408,-69.97714814988596,11,24,189
729,-45.31005345220408,-69.61143312950291,11,25,137
729,-45.31005345220408,-69.24571810911988,11,26,115
729,-45.31005345220408,-68.88000308873683,11,27,163
729,-45.31005345220408,-68.51428806835379,11,28,58
729,-45.41847064470861,-78.75430863907894,12,0,101
729,-45.41847064470861,-78.3885936186959,12,1,144
729,-45.41847064470861,-78.02287859831286,12,2,139
729,-45.41847064470861,-77.65716357792982,12,3,127
729,-45.41847064470861,-77.29144855754677,12,4,134
729,-45.41847064470861,-76.92573353716374,12,5,127
729,-45.41847064470861,-76.56001851678069,12,6,128
729,-45.41847064470861,-76.19430349639765,12,7,161
729,-45.41847064470861,-75.82858847601462,12,8,97
729,-45.41847064470861,-75.46287345563157,12,9,107
729,-45.41847064470861,-75.09715843524853,12,10,128
729,-45.41847064470861,-74.7314434148655,12,11,140
729,-45.41847064470861,-74.36572839448245,12,12,156
729,-45.41847064470861,-74.00001337409941,12,13,174
729,-45.41847064470861,-73.63429835371636,12,14,164
729,-45.41847064470861,-72.1714382721842,12,18,181
729,-45.41847064470861,-69.61143312950291,12,25,160
729,-45.41847064470861,-69.24571810911988,12,26,140
729,-45.41847064470861,-68.88000308873683,12,27,161
729,-45.41847064470861,-68.51428806835379,12,28,55
729,-45.52688783721315,-78.75430863907894,13,0,100
729,-45.52688783721315,-78.3885936186959,13,1,147
729,-45.52688783721315,-78.02287859831286,13,2,146
729,-45.52688783721315,-77.65716357792982,13,3,130
729,-45.52688783721315,-77.29144855754677,13,4,119
729,-45.52688783721315,-76.92573353716374,13,5,130
729,-45.52688783721315,-76.56001851678069,13,6,135
729,-45.52688783721315,-76.19430349639765,13,7,134
729,-45.52688783721315,-75.82858847601462,13,8,111
729,-45.52688783721315,-75.46287345563157,13,9,98
729,-45.52688783721315,-75.09715843524853,13,10,131
729,-45.52688783721315,-74.7314434148655,13,11,129
729,-45.52688783721315,-74.36572839448245,13,12,157
729,-45.52688783721315,-74.00001337409941,13,13,163
729,-45.52688783721315,-73.63429835371636,13,14,180
729,-45.52688783721315,-72.53715329256724,13,17,181
729,-45.52688783721315,-72.1714382721842,13,18,178
729,-45.52688783721315,-69.24571810911988,13,26,186
729,-45.52688783721315,-68.88000308873683,13,27,133
729,-45.52688783721315,-68.51428806835379,13,28,34
729,-45.635305029717685,-78.75430863907894,14,0,91
729,-45.635305029717685,-78.3885936186959,14,1,141
729,-45.635305029717685,-78.02287859831286,14,2,140
729,-45.635305029717685,-77.65716357792982,14,3,115
729,-45.635305029717685,-77.29144855754677,14,4,119
729,-45.635305029717685,-76.92573353716374,14,5,145
729,-45.635305029717685,-76.56001851678069,14,6,156
729,-45.635305029717685,-76.19430349639765,14,7,116
729,-45.635305029717685,-75.82858847601462,14,8,104
729,-45.635305029717685,-75.46287345563157,14,9,110
729,-45.635305029717685,-75.09715843524853,14,10,138
729,-45.635305029717685,-74.7314434148655,14,11,149
729,-45.635305029717685,-74.36572839448245,14,12,159
729,-45.635305029717685,-74.00001337409941,14,13,178
729,-45.635305029717685,-73.63429835371636,14,14,159
729,-45.635305029717685,-73.26858333333332,14,15,179
729,-45.635305029717685,-72.90286831295029,14,16,140
729,-45.635305029717685,-72.53715329256724,14,17,178
729,-45.635305029717685,-71.44000823141812,14,20,175
729,-45.635305029717685,-68.88000308873683,14,27,111
729,-45.743722222222225,-78.75430863907894,15,0,57
729,-45.743722222222225,-78.3885936186959,15,1,156
729,-45.743722222222225,-78.02287859831286,15,2,117
729,-45.743722222222225,-77.65716357792982,15,3,120
729,-45.743722222222225,-77.29144855754677,15,4,145
729,-45.743722222222225,-76.92573353716374,15,5,144
729,-45.743722222222225,-76.56001851678069,15,6,142
729,-45.743722222222225,-76.19430349639765,15,7,111
729,-45.743722222222225,-75.82858847601462,15,8,96
729,-45.743722222222225,-75.46287345563157,15,9,108
729,-45.743722222222225,-75.09715843524853,15,10,127
729,-45.743722222222225,-74.7314434148655,15,11,166
729,-45.743722222222225,-74.36572839448245,15,12,156
729,-45.743722222222225,-74.00001337409941,15,13,153
729,-45.743722222222225,-73.63429835371636,15,14,150
729,-45.743722222222225,-73.26858333333332,15,15,156
729,-45.743722222222225,-72.90286831295029,15,16,173
729,-45.743722222222225,-72.53715329256724,15,17,181
729,-45.743722222222225,-71.44000823141812,15,20,179
729,-45.743722222222225,-71.07429321103508,15,21,178
729,-45.743722222222225,-68.88000308873683,15,27,84
729,-45.852139414726764,-78.3885936186959,16,1,139
729,-45.852139414726764,-78.02287859831286,16,2,127
729,-45.852139414726764,-77.65716357792982,16,3,123
729,-45.852139414726764,-77.29144855754677,16,4,150
729,-45.852139414726764,-76.92573353716374,16,5,137
729,-45.852139414726764,-76.56001851678069,16,6,117
729,-45.852139414726764,-76.19430349639765,16,7,103
729,-45.852139414726764,-75.82858847601462,16,8,103
729,-45.852139414726764,-75.46287345563157,16,9,142
729,-45.852139414726764,-75.09715843524853,16,10,156
729,-45.852139414726764,-74.7314434148655,16,11,186
729,-45.852139414726764,-74.36572839448245,16,12,154
729,-45.852139414726764,-74.00001337409941,16,13,139
729,-45.852139414726764,-73.63429835371636,16,14,153
729,-45.852139414726764,-73.26858333333332,16,15,155
729,-45.852139414726764,-71.07429321103508,16,21,178
729,-45.852139414726764,-69.24571810911988,16,26,176
729,-45.852139414726764,-68.88000308873683,16,27,52
729,-45.9605566072313,-78.3885936186959,17,1,87
729,-45.9605566072313,-78.02287859831286,17,2,144
729,-45.9605566072313,-77.65716357792982,17,3,134
729,-45.9605566072313,-77.29144855754677,17,4,171
729,-45.9605566072313,-76.92573353716374,17,5,119
729,-45.9605566072313,-76.56001851678069,17,6,106
729,-45.9605566072313,-76.19430349639765,17,7,110
729,-45.9605566072313,-75.82858847601462,17,8,140
729,-45.9605566072313,-75.46287345563157,17,9,173
729,-45.9605566072313,-74.36572839448245,17,12,166
729,-45.9605566072313,-74.00001337409941,17,13,131
729,-45.9605566072313,-73.63429835371636,17,14,168
729,-45.9605566072313,-73.26858333333332,17,15,171
729,-45.9605566072313,-69.24571810911988,17,26,166
729,-46.068973799735836,-78.3885936186959,18,1,49
729,-46.068973799735836,-78.02287859831286,18,2,152
729,-46.068973799735836,-77.65716357792982,18,3,125
729,-46.068973799735836,-77.29144855754677,18,4,146
729,-46.068973799735836,-76.92573353716374,18,5,123
729,-46.068973799735836,-76.56001851678069,18,6,129
729,-46.068973799735836,-76.19430349639765,18,7,180
729,-46.068973799735836,-75.82858847601462,18,8,182
729,-46.068973799735836,-74.7314434148655,18,11,143
729,-46.068973799735836,-74.36572839448245,18,12,122
729,-46.068973799735836,-74.00001337409941,18,13,151
729,-46.068973799735836,-69.24571810911988,18,26,130
729,-46.17739099224037,-78.02287859831286,19,2,96
729,-46.17739099224037,-77.65716357792982,19,3,149
729,-46.17739099224037,-75.09715843524853,19,10,138
729,-46.17739099224037,-74.7314434148655,19,11,127
729,-46.17739099224037,-74.36572839448245,19,12,120
729,-46.17739099224037,-74.00001337409941,19,13,179
729,-46.17739099224037,-73.26858333333332,19,15,168
729,-46.17739099224037,-70.342863170269,19,23,189
729,-46.17739099224037,-69.24571810911988,19,26,65
729,-46.28580818474491,-77.65716357792982,20,3,141
729,-46.28580818474491,-77.29144855754677,20,4,154
729,-46.28580818474491,-76.92573353716374,20,5,167
729,-46.28580818474491,-76.56001851678069,20,6,167
729,-46.28580818474491,-76.19430349639765,20,7,155
729,-46.28580818474491,-75.82858847601462,20,8,144
729,-46.28580818474491,-75.46287345563157,20,9,117
729,-46.28580818474491,-75.09715843524853,20,10,112
729,-46.28580818474491,-74.7314434148655,20,11,127
729,-46.28580818474491,-74.36572839448245,20,12,169
729,-46.28580818474491,-74.00001337409941,20,13,187
729,-46.28580818474491,-71.44000823141812,20,20,170
729,-46.28580818474491,-69.61143312950291,20,25,137
729,-46.39422537724944,-77.65716357792982,21,3,45
729,-46.39422537724944,-77.29144855754677,21,4,97
729,-46.39422537724944,-76.92573353716374,21,5,104
729,-46.39422537724944,-76.56001851678069,21,6,96
729,-46.39422537724944,-76.19430349639765,21,7,104
729,-46.39422537724944,-75.82858847601462,21,8,116
729,-46.39422537724944,-75.46287345563157,21,9,136
729,-46.39422537724944,-75.09715843524853,21,10,145
729,-46.39422537724944,-74.7314434148655,21,11,121
729,-46.39422537724944,-74.00001337409941,21,13,143
729,-46.39422537724944,-73.63429835371636,21,14,164
729,-46.39422537724944,-71.44000823141812,21,20,134
729,-46.39422537724944,-71.07429321103508,21,21,150
729,-46.39422537724944,-69.97714814988596,21,24,146
729,-46.50264256975398,-77.29144855754677,22,4,37
729,-46.50264256975398,-76.92573353716374,22,5,90
729,-46.50264256975398,-76.56001851678069,22,6,99
729,-46.50264256975398,-76.19430349639765,22,7,143
729,-46.50264256975398,-75.82858847601462,22,8,149
729,-46.50264256975398,-75.46287345563157,22,9,135
729,-46.50264256975398,-75.09715843524853,22,10,129
729,-46.50264256975398,-74.7314434148655,22,11,159
729,-46.50264256975398,-74.36572839448245,22,12,175
729,-46.50264256975398,-74.00001337409941,22,13,137
729,-46.50264256975398,-73.63429835371636,22,14,144
729,-46.50264256975398,-73.26858333333332,22,15,166
729,-46.50264256975398,-72.90286831295029,22,16,182
729,-46.50264256975398,-72.53715329256724,22,17,186
729,-46.50264256975398,-71.44000823141812,22,20,127
729,-46.50264256975398,-71.07429321103508,22,21,128
729,-46.50264256975398,-70.342863170269,22,23,150
729,-46.61105976225851,-76.56001851678069,23,6,96
729,-46.61105976225851,-76.19430349639765,23,7,148
729,-46.61105976225851,-75.82858847601462,23,8,145
729,-46.61105976225851,-75.46287345563157,23,9,163
729,-46.61105976225851,-74.7314434148655,23,11,165
729,-46.61105976225851,-74.36572839448245,23,12,148
729,-46.61105976225851,-74.00001337409941,23,13,182
729,-46.61105976225851,-73.63429835371636,23,14,187
729,-46.61105976225851,-72.90286831295029,23,16,171
729,-46.61105976225851,-72.53715329256724,23,17,175
729,-46.61105976225851,-71.44000823141812,23,20,151
729,-46.61105976225851,-71.07429321103508,23,21,149
729,-46.61105976225851,-70.70857819065203,23,22,94
729,-46.71947695476305,-76.19430349639765,24,7,46
729,-46.71947695476305,-75.82858847601462,24,8,75
729,-46.71947695476305,-75.46287345563157,24,9,128
729,-46.71947695476305,-75.09715843524853,24,10,187
729,-46.71947695476305,-74.36572839448245,24,12,181
729,-46.71947695476305,-72.90286831295029,24,16,178
729,-46.71947695476305,-72.53715329256724,24,17,189
729,-46.71947695476305,-72.1714382721842,24,18,179
729,-46.71947695476305,-71.80572325180115,24,19,119
729,-46.71947695476305,-71.44000823141812,24,20,77
729,-46.827894147267585,-75.09715843524853,25,10,53
729,-46.827894147267585,-74.7314434148655,25,11,91
729,-46.827894147267585,-74.36572839448245,25,12,121
729,-46.827894147267585,-74.00001337409941,25,13,141
729,-46.827894147267585,-73.63429835371636,25,14,186
729,-46.827894147267585,-73.26858333333332,25,15,161
729,-46.827894147267585,-72.90286831295029,25,16,127
729,-46.827894147267585,-72.53715329256724,25,17,88
729,-46.827894147267585,-72.1714382721842,25,18,39
731,-42.43126592445105,-75.76982644808099,0,5,39
731,-42.43126592445105,-75.40423546993956,0,6,153
731,-42.43126592445105,-75.03864449179812,0,7,162
731,-42.43126592445105,-74.6730535136567,0,8,154
731,-42.43126592445105,-74.30746253551526,0,9,156
731,-42.43126592445105,-73.94187155737383,0,10,161
731,-42.43126592445105,-73.57628057923239,0,11,174
731,-42.43126592445105,-73.21068960109096,0,12,151
731,-42.43126592445105,-72.84509862294952,0,13,175
731,-42.43126592445105,-72.4795076448081,0,14,171
731,-42.43126592445105,-72.11391666666665,0,15,156
731,-42.43126592445105,-71.74832568852521,0,16,169
731,-42.43126592445105,-71.38273471038379,0,17,184
731,-42.43126592445105,-69.92037079781805,0,21,170
731,-42.43126592445105,-69.55477981967661,0,22,79
731,-42.53964634430246,-76.13541742622243,1,4,43
731,-42.53964634430246,-75.76982644808099,1,5,132
731,-42.53964634430246,-75.40423546993956,1,6,179
731,-42.53964634430246,-75.03864449179812,1,7,148
731,-42.53964634430246,-74.6730535136567,1,8,147
731,-42.53964634430246,-74.30746253551526,1,9,155
731,-42.53964634430246,-73.94187155737383,1,10,187
731,-42.53964634430246,-73.57628057923239,1,11,185
731,-42.53964634430246,-73.21068960109096,1,12,177
731,-42.53964634430246,-72.84509862294952,1,13,185
731,-42.53964634430246,-72.4795076448081,1,14,170
731,-42.53964634430246,-72.11391666666665,1,15,148
731,-42.53964634430246,-71.74832568852521,1,16,180
731,-42.53964634430246,-71.38273471038379,1,17,179
731,-42.53964634430246,-70.28596177595948,1,20,186
731,-42.53964634430246,-69.92037079781805,1,21,159
731,-42.53964634430246,-69.55477981967661,1,22,138
731,-42.53964634430246,-69.18918884153518,1,23,52
731,-42.648026764153876,-76.50100840436386,2,3,37
731,-42.648026764153876,-76.13541742622243,2,4,133
731,-42.648026764153876,-75.76982644808099,2,5,174
731,-42.648026764153876,-75.40423546993956,2,6,174
731,-42.648026764153876,-75.03864449179812,2,7,163
731,-42.648026764153876,-74.6730535136567,2,8,151
731,-42.648026764153876,-74.30746253551526,2,9,163
731,-42.648026764153876,-73.94187155737383,2,10,184
731,-42.648026764153876,-73.57628057923239,2,11,174
731,-42.648026764153876,-72.84509862294952,2,13,163
731,-42.648026764153876,-72.4795076448081,2,14,166
731,-42.648026764153876,-72.11391666666665,2,15,169
731,-42.648026764153876,-71.38273471038379,2,17,189
731,-42.648026764153876,-71.01714373224235,2,18,173
731,-42.648026764153876,-70.65155275410092,2,19,189
731,-42.648026764153876,-70.28596177595948,2,20,175
731,-42.648026764153876,-69.92037079781805,2,21,173
731,-42.648026764153876,-69.55477981967661,2,22,136
731,-42.648026764153876,-69.18918884153518,2,23,116
731,-42.648026764153876,-68.82359786339374,2,24,52
731,-42.75640718400528,-76.50100840436386,3,3,110
731,-42.75640718400528,-76.13541742622243,3,4,151
731,-42.75640718400528,-75.76982644808099,3,5,185
731,-42.75640718400528,-75.40423546993956,3,6,184
731,-42.75640718400528,-75.03864449179812,3,7,170
731,-42.75640718400528,-74.6730535136567,3,8,156
731,-42.75640718400528,-74.30746253551526,3,9,175
731,-42.75640718400528,-73.94187155737383,3,10,182
